Start station,Start time,End station,End time
291,2016-09-04 10:03:47 +0200,253,2016-09-04 10:14:48 +0200
164,2016-09-04 10:45:56 +0200,291,2016-09-04 10:52:17 +0200
291,2016-09-04 10:52:52 +0200,164,2016-09-04 10:59:10 +0200
291,2016-09-04 11:20:33 +0200,208,2016-09-04 11:25:44 +0200
291,2016-09-04 11:30:14 +0200,248,2016-09-04 11:43:23 +0200
291,2016-09-04 11:31:02 +0200,161,2016-09-04 11:33:44 +0200
291,2016-09-04 11:31:47 +0200,161,2016-09-04 11:35:15 +0200
291,2016-09-04 11:32:38 +0200,183,2016-09-04 11:47:31 +0200
291,2016-09-04 11:36:20 +0200,162,2016-09-04 11:43:00 +0200
291,2016-09-04 11:44:09 +0200,256,2016-09-04 13:23:25 +0200
291,2016-09-04 11:45:50 +0200,189,2016-09-04 11:55:48 +0200
291,2016-09-04 11:45:51 +0200,192,2016-09-04 11:57:09 +0200
291,2016-09-04 11:54:53 +0200,292,2016-09-04 12:09:30 +0200
291,2016-09-04 12:20:36 +0200,204,2016-09-04 12:36:37 +0200
176,2016-09-04 12:51:15 +0200,291,2016-09-04 13:12:01 +0200
291,2016-09-04 13:21:51 +0200,233,2016-09-04 13:26:36 +0200
232,2016-09-04 13:44:41 +0200,291,2016-09-04 14:22:57 +0200
291,2016-09-04 13:47:47 +0200,227,2016-09-04 13:52:39 +0200
291,2016-09-04 13:48:12 +0200,227,2016-09-04 13:52:35 +0200
291,2016-09-04 13:56:26 +0200,198,2016-09-04 18:10:51 +0200
204,2016-09-04 14:00:43 +0200,291,2016-09-04 15:54:21 +0200
291,2016-09-04 14:01:49 +0200,306,2016-09-04 14:11:29 +0200
291,2016-09-04 14:04:02 +0200,277,2016-09-04 15:05:18 +0200
291,2016-09-04 14:04:02 +0200,229,2016-09-04 15:11:25 +0200
291,2016-09-04 14:04:46 +0200,277,2016-09-04 15:05:22 +0200
291,2016-09-04 14:05:39 +0200,273,2016-09-04 16:30:37 +0200
